locusName	rice.defline	Pfam	Panther	KOG	KO	Best.hit.arabi.name	arabi.symbol	Best.hit.rice.name	rice.symbol
Sobic.001G000100	harpin-induced protein 1 domain containing protein, expressed	PF03168	PTHR31415,PTHR31415:SF3			AT4G05220.1		LOC_Os07g34720.1	NA
Sobic.001G000200	TBC domain containing protein, expressed	PF00566	PTHR22957,PTHR22957:SF273	KOG2197		AT4G27100.1		LOC_Os11g37690.1	NA
Sobic.001G000300									NA
Sobic.001G000400	pleiotropic drug resistance protein, putative, expressed	PF14510,PF08370,PF00005,PF01061	PTHR19241,PTHR19241:SF214			AT1G66950.1	ATPDR11,PDR11	LOC_Os11g37700.1	NA
Sobic.001G000501									NA
Sobic.001G000700	glutathione S-transferase, N-terminal domain containing protein, expressed	PF14497	PTHR11260,PTHR11260:SF220	KOG0867		AT5G41210.1	ATGSTT1,GST10,GSTT1	LOC_Os11g37730.1	NA
Sobic.001G000800	oxidoreductase/ transition metal ion binding protein, putative, expressed		PTHR33740,PTHR33740:SF3			AT5G23890.1		LOC_Os03g64400.1	NA
Sobic.001G000900	expressed protein		PTHR33870,PTHR33870:SF1			AT5G17910.2		LOC_Os07g28920.1	NA
Sobic.001G001000	expressed protein		PTHR33698,PTHR33698:SF1			AT5G41470.1		LOC_Os03g64380.1	NA
Sobic.001G001066	retrotransposon protein, putative, unclassified, expressed	PF00098	PTHR23002,PTHR23002:SF63			AT3G55340.1	PHIP1	LOC_Os04g45890.1	NA
Sobic.001G001132	expressed protein		PTHR33698,PTHR33698:SF1			AT5G41470.1		LOC_Os03g64380.1	NA
Sobic.001G001200	pentatricopeptide, putative, expressed	PF13812,PF01535,PF13041	PTHR24015,PTHR24015:SF521			AT5G52850.1		LOC_Os03g64370.1	NA
Sobic.001G001300	rhodanese-like domain containing protein, putative, expressed	PF00581,PF12368	PTHR22778,PTHR22778:SF18			AT1G17850.2		LOC_Os03g64350.1	NA
Sobic.001G001400	expressed protein		PTHR31008,PTHR31008:SF0			AT5G43310.2		LOC_Os03g64320.1	NA
Sobic.001G001700									NA
