chr,gene_id,ID,Locus.Tag,Region,Product
Ga0197603_11,MSTRG.1,2758108936, Ga0197603_0001,1..344, adenine phosphoribosyltransferase
Ga0197603_11,MSTRG.2,2758108937, Ga0197603_0002,complement(447..1823), ATP-independent RNA helicase DbpA
Ga0197603_11,MSTRG.3,2758108938, Ga0197603_0003,1940..3832, ATP-binding cassette subfamily F protein uup
Ga0197603_11,MSTRG.4,2758108939, Ga0197603_0004,complement(4279..4704), barstar (barnase inhibitor)
Ga0197603_11,MSTRG.4,2758108940, Ga0197603_0005,complement(4701..5141), guanyl-specific ribonuclease Sa
Ga0197603_11,MSTRG.6,2758108941, Ga0197603_0006,5396..6007, Fe-Mn family superoxide dismutase
Ga0197603_11,MSTRG.7,2758108942, Ga0197603_0007,complement(6164..6997), myo-inositol-1(or 4)-monophosphatase
Ga0197603_11,MSTRG.8,2758108943, Ga0197603_0008,7115..7879, tRNA (cytidine32uridine32-2'-O)-methyltransferase
Ga0197603_11,MSTRG.9,2758108944, Ga0197603_0009,7940..8860, phosphonate transport system substrate-binding protein
Ga0197603_11,MSTRG.9,2758108945, Ga0197603_0010,8857..10974, diguanylate cyclasephosphodiesterase
Ga0197603_11,MSTRG.10,2758108946, Ga0197603_0011,complement(11203..12231), L-lysine 2 3-aminomutase
Ga0197603_11,MSTRG.11,2758108947, Ga0197603_0012,12333..12899, elongation factor P
Ga0197603_11,MSTRG.12,2758108948, Ga0197603_0013,12955..13917, hypothetical protein
Ga0197603_11,MSTRG.12,2758108949, Ga0197603_0014,13914..15251, 5-methylthioadenosineS-adenosylhomocysteine deaminase
Ga0197603_11,MSTRG.13,2758108950, Ga0197603_0015,15282..16001, 3-demethylubiquinone-9 3-methyltransferase
Ga0197603_11,MSTRG.14,2758108951, Ga0197603_0016,16087..16779, phosphoglycolate phosphatase
Ga0197603_11,MSTRG.15,2758108952, Ga0197603_0017,16808..17497, hypothetical protein
Ga0197603_11,MSTRG.5,2758108953, Ga0197603_0018,complement(17876..18906), pectinesterase
Ga0197603_11,MSTRG.16,2758108954, Ga0197603_0019,19169..19657, general stress protein 26
Ga0197603_11,MSTRG.17,2758108955, Ga0197603_0020,20010..20300, hypothetical protein
Ga0197603_11,MSTRG.18,2758108956, Ga0197603_0021,complement(20613..21656), ethanolamine:proton symporter (EAT family)
Ga0197603_11,MSTRG.19,2758108957, Ga0197603_0022,complement(22290..23129), peptidase M23-like protein
Ga0197603_11,MSTRG.19,2758108958, Ga0197603_0023,complement(23129..24478), dihydroorotase
Ga0197603_11,MSTRG.19,2758108959, Ga0197603_0024,complement(24475..24774), hypothetical protein
Ga0197603_11,MSTRG.20,2758108960, Ga0197603_0025,24859..25881, TraRDksA family transcriptional regulator
Ga0197603_11,MSTRG.21,2758108961, Ga0197603_0026,complement(26219..27469), predicted MFS family arabinose efflux permease
Ga0197603_11,MSTRG.21,2758108962, Ga0197603_0027,complement(27466..27903), cysteine desulfuration protein SufE
